conversation_id,conversation_name,created_at,created_at_iso_utc,request_type,initial_query,turn_count,valid_query_count,has_scenarios_table,has_confirmation_prompt,has_final_rule_code,response_quality,relevance,query_type,feasibility,concern_tags
f2eb9be0-a653-4b80-b3d2-f48a2e3c01a7,Scheduling ANC Follow Up Based on Gestational Age,1771842709,2026-02-23T10:31:49+00:00,VisitSchedule,"Schedule ANC Follow Up at 20 weeks if gestational age is less than 16 weeks, otherwise at 28 weeks",2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
140d4814-fa13-48f8-806c-a3ba7fc5b624,Scheduling Child Follow-Up Based on Nutritional Status,1771842680,2026-02-23T10:31:20+00:00,VisitSchedule,"Schedule Child Followup in 7 days if nutritional status is 'SAM', in 14 days if 'MAM', and in 30 days if normal",2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
1fb8e3f4-f86b-4226-bbef-7c48e5d2e059,Scheduling ANC Follow-up Visit,1771842652,2026-02-23T10:30:52+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
6d1475a0-0246-4f5f-b2eb-4c8de5f4ff57,Scheduling ANC Follow-Up Based on Gestational Age,1771842238,2026-02-23T10:23:58+00:00,VisitSchedule,"Schedule ANC Follow Up at 20 weeks if gestational age is less than 16 weeks, otherwise at 28 weeks",2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
d6a505dc-fca4-4749-b77b-b2b10854b2f9,Scheduling Child Nutrition Follow-up,1771842200,2026-02-23T10:23:20+00:00,VisitSchedule,"Schedule Child Followup in 7 days if nutritional status is 'SAM', in 14 days if 'MAM', and in 30 days if normal",2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
6971919a-8b76-4e5a-8a8e-735b24d6f3ce,Scheduling ANC Follow-Up Visit,1771842175,2026-02-23T10:22:55+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
63134023-879b-40b5-b467-fc1c6e296b37,Scheduling ANC Follow Up 📅,1771842069,2026-02-23T10:21:09+00:00,VisitSchedule,"Schedule ANC Follow Up at 20 weeks if gestational age is less than 16 weeks, otherwise at 28 weeks",1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
dddcd229-970a-456f-8e11-dc1e5c0188e6,Scheduling Follow-ups Based on Child's Nutritional Status,1771842055,2026-02-23T10:20:55+00:00,VisitSchedule,"Schedule Child Followup in 7 days if nutritional status is 'SAM', in 14 days if 'MAM', and in 30 days if normal",1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
6a78833b-fa88-40cb-b437-c73248e13a94,Programming ANC Follow-Up Schedules,1771841995,2026-02-23T10:19:55+00:00,VisitSchedule,"Schedule ANC Follow Up at 20 weeks if gestational age is less than 16 weeks, otherwise at 28 weeks",1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
21fb728e-7af9-4218-be16-2dfccbcf4dee,Scheduling Followup Based on Child's Nutritional Status,1771841977,2026-02-23T10:19:37+00:00,VisitSchedule,"Schedule Child Followup in 7 days if nutritional status is 'SAM', in 14 days if 'MAM', and in 30 days if normal",1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
e5108944-d222-45fb-a325-a2584b41631a,Scheduling 28 Days Post-ANC Encounter,1771841950,2026-02-23T10:19:10+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
032c37b4-6a2e-40b4-ac03-2e3a3bf4fdc4,Scheduling ANC Follow Up Visit,1771841859,2026-02-23T10:17:39+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
84c50165-47d9-4d53-b477-9fb437aab306,Scheduling Follow-up ANC Visit in 28 Days,1771841826,2026-02-23T10:17:06+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
0ec2f6a8-7ffa-4a2a-a940-7ef80f3cacbd,Planning ANC Follow-Up Visit,1771841794,2026-02-23T10:16:34+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
3f3a04eb-dee9-4bb7-b618-e4132f6cc27f,Planning ANC Follow Up Visit,1771841639,2026-02-23T10:13:59+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,1,1,True,True,False,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_final_rule_code
6873c1e7-d559-45bb-b444-2dc50b65020a,Scheduling ANC Follow Up Visit,1771841568,2026-02-23T10:12:48+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
f7e1acd2-3ca3-4878-a0c4-c6b20dc7d091,Scheduling ANC Follow-up Visit,1771838941,2026-02-23T09:29:01+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
8e7c8646-c87e-4f79-beaa-0596c926706a,Scheduling ANC Follow-Up,1771838464,2026-02-23T09:21:04+00:00,VisitSchedule,"Schedule ANC Follow Up at 20 weeks if gestational age is less than 16 weeks, otherwise at 28 weeks",2,1,False,True,True,Bad response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,missing_scenario_validation
3e11b015-1480-42e7-85e2-38b6beb7b2de,Child Nutrition Follow-Up Scheduling,1771838431,2026-02-23T09:20:31+00:00,VisitSchedule,"Schedule Child Followup in 7 days if nutritional status is 'SAM', in 14 days if 'MAM', and in 30 days if normal",2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
7f4179e8-71e1-46fb-a31f-57d1c6768abd,Scheduling ANC Follow-up Visit,1771838407,2026-02-23T09:20:07+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
3e292df3-90b5-437f-8e11-ee4965406e1b,Scheduling 28-Day Post-ANC Visit,1771838285,2026-02-23T09:18:05+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
b25928b9-9ea2-4069-a22b-8a3aa19cabe3,Planning 28 Days Later ANC Checkup,1771838214,2026-02-23T09:16:54+00:00,VisitSchedule,Schedule ANC Follow Up visit 28 days after the current ANC encounter,2,1,True,True,True,Good response,Relevant to Avni,Programmatic,Feasible with Avni/AI Assistant,
